[empty],Creator(s),First public release date,Latest stable version,Cost (USD),Software license
7-Zip,Igor Pavlov,[empty],18.06,[empty],[empty]
ALZip,ESTsoft,(as a WinZip translation),[empty],[empty],[empty]
ALZip for Mac,ESTsoft,(as a WinZip translation),[empty],[empty],[empty]
Archive Manager,Paolo Bacchilega,[empty],3.20.2 <ref></ref>,[empty],[empty]
Archive Utility,Apple Inc.,[empty],[empty],[empty],[empty]
Ark,KDE team,1997,15.12.3,[empty],[empty]
B1 Free Archiver,Adam Buyer,[empty],1.5.86,[empty],[empty]
BetterZip,BetterZip,[empty],[empty],[empty],[empty]
Commander One,Eltima Software,[empty],1.1,[empty],[empty]
Compressed Folders,Microsoft Inc.,[empty],Windows 8.1,[empty],[empty]
CRAX Commander,Soft4U2,[empty],1.10.9,[empty],[empty]
Disk ARchiver,Denis Corbin,[empty],2.5.14,[empty],[empty]
Expander,Haiku  Inc.,[empty],[empty],[empty],[empty]
Filzip,Philipp Engel,[empty],[empty],[empty],[empty]
FreeArc,Bulat Ziganshin,v0.36,0.666 (),[empty],[empty]
iArchiver,Dare to be Creative Ltd.,[empty],1.4.1,[empty],[empty]
Info-ZIP (Wzip),Samuel Smith,[empty],6.0,[empty],[empty]
KGB Archiver,Tomasz Pawlak,[empty],1.2.1.24,[empty],[empty]
PeaZip,Giorgio Tani,[empty],6.6.1,[empty],[empty]
PKZIP,Phil Katz,[empty],12.4<ref></ref> (ca. ),[empty],[empty]
PowerArchiver,ConexWare,[empty],17.01.04,[empty],[empty]
StuffIt,Smith Micro Software,[empty],15.0.7 <ref></ref>,</ref> $79.99 French Deluxe;<ref></ref> Windows: $14.99 Standard <ref></ref> $29.99 Deluxe <ref></ref> $49.99 French (or German) Deluxe<ref></ref><ref></ref>}},[empty]
TAR,AT&T,[empty],GNU tar: ; star: 1.5.3; BSD tar: 2.6.0,[empty],[empty]
The Unarchiver,Circlesoft,[empty],3.11.3,[empty],[empty]
Terse,IBM,[empty],[empty],[empty],[empty]
TUGZip,Christian Kindahl,[empty],3.5.0.0,[empty],[empty]
WinAce,e-merge GmbH,[empty],2.69,[empty],[empty]
WinRAR,Eugene Roshal / Alexander Roshal,[empty],[empty],</ref>}},[empty]
WinZip,WinZip Computing  Inc,[empty],[empty],[empty],[empty]
XAD a.k.a. XADMaster.library,Dirk Stoecker,[empty],13.1,[empty],[empty]
Xarchiver,Giuseppe Torelli,[empty],0.5.4,[empty],[empty]
ZipGenius,Matteo Riso of M.Dev Software,[empty],6.3.2.3112,[empty],[empty]
[empty],Creator(s),First public release date,Latest stable version,Cost (USD),Software license
[added],[added],[added],[added],[added],[added]
