Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
AndroidChat<ref name="Rough"></ref>,[empty],[empty],GNU GPL,TUI  GUI,Java,Android,https://code.google.com/p/androidchat/
Mobile Colloquy,Kiji Roshi,[empty],BSD License,GUI,Objective-C,iOS,http://colloquy.mobi
fIRC,Laurence Muller,[empty],GNU GPL,GUI,Java,Android,https://code.google.com/p/firc-chat/
IRCCloud,IRCCloud Ltd.,<ref>Free version is limited to: 2 connections outside their IRC server; 2 hours of persistent connection while idle (after the first 7 days); 100MB drag and drop file sharing; low-priority support; and no access to passworded servers.</ref>,[empty],GUI,[empty],iOS  Android,https://www.irccloud.com/
jmIrc,Juho Vähä-Herttua,[empty],GNU GPL,GUI,Java,Java ME,http://jmirc.sourceforge.net/
k-IRC,Armond Avanes,[empty],GNU GPL,GUI,Java,Java ME,http://sourceforge.net/projects/kirc/
microirc,[empty],[empty],GNU GPL,GUI,C ?,Windows Mobile 5 (and above),https://code.google.com/p/microirc/
Virca,[empty],[empty],GNU GPL,TUI,Java,Java ME,http://www.vidarholen.net/contents/virca/
wIRC,[empty],[empty],GNU GPL,GUI,C & JavaScript,WebOS,http://www.webos-internals.org/wiki/Application:WIRC
WLIrc,Sverre Kristian Valskrå,[empty],GNU LGPL,GUI,Java,Java ME,http://wirelessirc.sourceforge.net/
Yaaic,Sebastian Kaspari,[empty],GNU GPL,GUI,Java,Android,http://www.yaaic.org/
Simple IRC,The Linux Geek,[empty],GNU GPL,GUI,Java,Android,http://github.com/jcjordyn130/simpleirc
zsIRC,Gargaj,[empty],3-clause BSD,GUI,C++,Windows Mobile,http://www.zsIRC.com
Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
