IDE,License,Platform,Developer,Latest stable release
Code::Blocks,,Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris,Code::Blocks Team,16.01 / January 28  2016
Geany,,Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix,Team,1.27 / March 13  2016
GNAT Programming Studio,,Windows  Linux  macOS  DragonFly BSD  FreeBSD  NetBSD  OpenBSD  Solaris,AdaCore,4.3.1 / June 2009
KDevelop,,Linux,KDevelop Team,
NetBeans,,Windows  Linux  macOS,NetBeans Community,8.1 / November 4  2015
OpenWatcom,,Windows  Linux  DOS  OS/2,OpenWatcom Community,1.9 / June 2  2010
Photran (Eclipse),,Windows  Linux  macOS  FreeBSD  JVM  Solaris,University of Illinois  Los Alamos National Laboratory,9.1 / June 24  2015
Plato,,Windows,Silverfrost,4.7.3.0
Understand,,Windows  Linux  macOS  Solaris  other Unix,SciTools,December 4  2015
Simply Fortran,,Windows  Linux,Approximatrix  LLC,2.39 / August 30  2017
SlickEdit,,Windows  Linux  MacOS  AIX  Solaris  Solaris SPARC  HP-UX,SlickEdit,October 2016
IntelliJ IDEA,ASLv2,Windows  Linux  MacOS  FreeBSD  OpenBSD  Solaris,JetBrains,September 2017
