IDE,Developer,Latest stable release,Platform,License,Written in
Anjuta,Anjuta Team,June 2013,Unix-like,,C
Atom,GitHub,March 2017,Cross-platform,,JavaScript
Brackets,Adobe,September 2017,Cross-platform,,JavaScript  HTML  CSS
Aptana Studio,Aptana  Inc.,December 2013,Cross-platform,,Java  JavaScript
Codeanywhere,Codeanywhere  Inc.,August 2015,Cloud IDE,,JavaScript
CodeLite,CodeLite,October 2015,Cross-platform,,C++
Eclipse Web Tools,IBM,,Windows  Linux  macOS  FreeBSD  JVM  Solaris,,C  Java
Komodo IDE / Edit,ActiveState,November 19  2013,Cross-platform,,C  C++  JavaScript  Perl  Python  Tcl  XUL
NetBeans,Oracle,9.0 / <ref></ref>,Cross-platform,, GPL2,Java
Nodeclipse NTS,Nodeclipse,March 31  2014,Windows  Linux  macOS  FreeBSD  JVM  Solaris,,Java
NuSphere PhpED,NuSphere,June 2011,Windows,,N/A
Oracle JDeveloper,Oracle Corporation,July 2013,Windows  Linux  macOS,– free<ref>oracle.com</ref>,Java
Servoy,Servoy Developer Team,June 2011,Cross-platform,,Java
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  Solaris  AIX  HP-UX,,C++
Visual Studio,Microsoft,March 31  2016<ref></ref>,Windows,,C++  C#
Visual Studio Code,Microsoft,,Cross-platform,,JavaScript
WebStorm,JetBrains,July 2017<ref></ref>,Cross-platform,,Java
