Implementation,Platform requirements,Network requirements,Thread safety,Random seed,Able to cross-compile,No OS (bare metal),Supported operating systems
BearSSL,C,None,[empty],Platform-dependent,[empty],[empty],Anything that has a C compiler
Botan,C++11,None,[empty],Platform-dependent,[empty],[empty],Windows  Linux  macOS  Android  iOS  FreeBSD  OpenBSD  Solaris  AIX  HP-UX  QNX  BeOS  IncludeOS
CryptoComply,C89,Platform-dependent,[empty],Platform-dependent,[empty],[empty],Linux (RHEL  CentOS  Debian  Ubuntu  etc.)  Windows  iOS  Android  FreeBSD  macOS  Solaris  Java Runtime Environment
cryptlib,C89,POSIX send() and recv(). API to supply your own replacement,[empty],Platform-dependent  including hardware sources,[empty],[empty],AMX  BeOS  ChorusOS  DOS  eCos  FreeRTOS/OpenRTOS  uItron  MVS  OS/2  Palm OS  QNX Neutrino  RTEMS  Tandem NonStop  ThreadX  uC/OS II  Unix (AIX  FreeBSD  HPUX  Linux  OS X  Solaris  etc.)  VDK  VM/CMS  VxWorks  Win16  Win32  Win64  WinCE/PocketPC/etc  XMK
GnuTLS,C89,POSIX send() and recv(). API to supply your own replacement.,[empty],Platform dependent,[empty],[empty],Generally any POSIX platforms or Windows  commonly tested platforms include GNU/Linux  Win32/64  OS X  Solaris  OpenWRT  FreeBSD  NetBSD  OpenBSD.
JSSE,Java,Java SE network components,[empty],Depends on java.security.SecureRandom,[empty],[empty],Java based  platform-independent
MatrixSSL,C89,None,[empty],Platform dependent,[empty],[empty],All
mbed TLS,C89,POSIX read() and write(). API to supply your own replacement.,[empty],Random seed set through entropy pool,[empty],[empty],Known to work on: Win32/64  Linux  OS X  Solaris  FreeBSD  NetBSD  OpenBSD  OpenWRT  iPhone (iOS)  Xbox  Android  SeggerOS
NSS,C89  NSPR<ref name=nspr></ref>,NSPR<ref name=nspr /> PR_Send() and PR_Recv(). API to supply your own replacement.,[empty],Platform dependent<ref name=nssplatformdep>For Unix/Linux it uses /dev/urandom if available  for Windows it uses CAPI. For other platforms it gets data from clock  and tries to open system files. NSS has a set of platform dependent functions it uses to determine randomness.</ref>,(but cumbersome),[empty],AIX  Android  FreeBSD  NetBSD  OpenBSD  BeOS  HP-UX  IRIX  Linux  OS X  OS/2  Solaris  OpenVMS  Amiga DE  Windows  WinCE  Sony PlayStation
OpenSSL,C89,None,[empty],Platform dependent,[empty],[empty],Unix  DOS (with djgpp)  Windows  OpenVMS  MacOS  NetWare  eCos
RomSTL,C,Custom,Custom,Custom,[empty],[empty],Any
rustls,Rust,None,[empty],Platform-dependent,[empty],[empty],Rust supported platforms
wolfSSL,C89,POSIX send() and recv(). API to supply your own replacement.,[empty],Random seed set through wolfCrypt,[empty],[empty],Win32/64  Linux  OS X  Solaris  ThreadX  VxWorks  FreeBSD  NetBSD  OpenBSD  embedded Linux  Yocto Project  OpenEmbedded  WinCE  Haiku  OpenWRT  iPhone (iOS)  Android  Nintendo Wii and Gamecube through DevKitPro  QNX  MontaVista  NonStop  TRON/ITRON/µITRON  Micrium µC/OS-III  FreeRTOS  SafeRTOS  NXP/Freescale MQX  Nucleus  TinyOS  HP/UX  AIX  ARC MQX  Keil RTX  TI-RTOS  uTasker  embOS  INtime  Mbed  uT-Kernel  RIOT  CMSIS-RTOS  FROSTED  Green Hills INTEGRITY  TOPPERS  PetaLinux  Apache mynewt
[added],[added],[added],[added],[added],[added],[added],[added]
Implementation,Platform requirements,Network requirements,Thread safety,Random seed,Able to cross-compile,No OS (bare metal),Supported operating systems
