,Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
4D (4th Dimension),4D S.A.S.,1984,v16.0,2017-01-10<ref>http://www.4d.com/products/lifecycle.html</ref>,,
ADABAS,Software AG,1970,8.1,2013-06,,
Adaptive Server Enterprise,SAP AG,1987,16.0,2015,,
Advantage Database Server (ADS),SAP AG,1992,12.0,2015,,
Altibase,Altibase Corp.,2000,7.1.0.1.2,2018-03-02,GNU-AGPLv3; GNU-LGPLv3(for client-libraries),
Apache Derby,Apache,2004,10.14.2.0<ref></ref>,2018-05-03,,<ref>Derby - ASF JIRA</ref>
ClustrixDB,Clustrix,2010,v7.0,2015-08-19,,
CUBRID,NHN Corporation,2008-11,10.1.0,2017-07-14,,<ref>CUBRID / Jira Issue tracker for CUBRID</ref>
Datacom,CA  Inc.,Early 70s<ref></ref>,14<ref></ref>,2012<ref></ref>,,
DB2,IBM,1983,11.1,2016-04-12,,
Empress Embedded Database,Empress Software Inc,1979,10.20,2010-03,,
EXASolution,EXASOL AG,2004,6.0.0,2017-03-17,,
FileMaker,FileMaker  Inc.  an Apple subsidiary,1985-04,16,2017-05-09,,
Firebird,Firebird project,2000-07-25,3.0.4,2018-10-04,</ref> and IDPL<ref></ref>}},<ref>Firebird RDBMS Issue Tracker</ref>
GPUdb,GIS Federal,2014,3.2.5,2015-01-14,,
HSQLDB,HSQL Development Group,2001,2.4.1,2018-05-20,,<ref>HyperSQL Database Engine (HSQLDB) / Bugs</ref>
H2,H2 Software,2005,1.4.197,2018-03-18,,<ref>h2database issues</ref>
Informix Dynamic Server,IBM,1981????1980,12.10.xC10,2017-12-05,,
Ingres,Ingres Corp.,1974,10.2,2014-09-30,,
InterBase,Embarcadero,1984,XE7 v12.0.4.357,2015-08-12,,
Linter SQL RDBMS,RELEX Group,1990,6.0.18  6.1.15,2016-03-15,,
LucidDB,The Eigenbase Project,2007-01,0.9.4,2012-01-05,,
MariaDB,MariaDB Community,2010-02-01,10.3.11,2018-11-20<ref></ref>,</ref>}},<ref>MariaDB - JIRA</ref>
MaxDB,SAP AG,2003-05,7.9.0.8,2014,,<ref>MaxDB - Problem Tracking</ref>
Microsoft Access (JET),Microsoft,1992,16 (2016),2015-09-22,,
Microsoft Visual Foxpro,Microsoft,1984,9 (2005),2007-10-11,,
Microsoft SQL Server,Microsoft,1989,2017 (14),2017-10-02,,
Microsoft SQL Server Compact (Embedded Database),Microsoft,2000,2011 (v4.0),,,
Mimer SQL,Mimer Information Technology,1978,v10.1.4F,2018-11-02,,
MonetDB,The MonetDB Team / CWI,2004,Aug2018-SP1,2018-10-17,</ref>}},<ref>MonetDB Bugzilla</ref>
mSQL,Hughes Technologies,1994,4.1<ref></ref>,2017-06-30,,
MySQL,Oracle Corporation,1995-11,8.0.12<ref name="mysql_release"></ref>,2018-07-27,,<ref>MySQL Bugs</ref>
MemSQL,MemSQL,2012-06,5.8.6 (2017),2017-06-30,,
NexusDB,NexusDB Pty Ltd,2003,4.00.14,2015-06-25,,
HP NonStop SQL,Hewlett-Packard,1987,SQL/MX 3.4,,,
NuoDB,NuoDB,2013,3.0.1,,,
Omnis Studio,TigerLogic Inc,1982-07,6.1.3 Release 1no,2015-12,,
OpenBase SQL,OpenBase International,1991,11.0.0,,,
OpenEdge,Progress Software Corporation,1984,11.6.3,2016-08-19,,
OpenLink Virtuoso,OpenLink Software,1998,7.2.5,2017-04-28,,<ref>Issues · openlink/virtuoso-opensource · GitHub</ref>
Oracle DB,Oracle Corporation,1979-11,18.1.0.0,2018-07-23<ref></ref>,,
Oracle Rdb,Oracle Corporation,1984,7.3.1.2,2014-10-08<ref></ref>,,
Paradox,Corel Corporation,1985,11,2009-09-07,,
Percona Server for MySQL,Percona,2006,5.7.23-23<ref>https://www.percona.com/doc/percona-server/LATEST/release-notes/Percona-Server-5.7.23-23.html</ref>,2018-09-12,,
Pervasive PSQL,Pervasive Software,1982,v12,2015,,
Polyhedra DBMS,ENEA AB,1993,9.0,2015-06-24,, with Polyhedra Lite available as Freeware<ref name = "poly_lite">.</ref>,
PostgreSQL,PostgreSQL Global Development Group,1989-06,11.1,2018-11-08<ref></ref>,</ref>}},<ref>A bug tracker for PostgreSQL?</ref>
R:Base,R:BASE Technologies,1982,10.0,2016-05-26,,
Raima Database Manager,Raima Inc.,1984,14.1,2018-03-23,,
RDM Server,Raima Inc.,1993,8.4,2012-10-31,,
SAP HANA,SAP AG,2010,2.0 SPS02,2017-07-26,,
solidDB,UNICOM Global,1992,7.0.0.10,2014-04-29,,
SQL Anywhere,Sybase,1992,17.0,2015-07-15,,
SQLBase,Unify Corp.,1982,11.5,2008-11,,
SQLite,D. Richard Hipp,2000-09-12,3.24.2,2018-09-25<ref></ref>,,<ref>SQLite: Ticket Main Menu</ref>
SQream DB,SQream Technologies,2014,2.1<ref></ref>,2018-01-15,,
Superbase,Superbase,1984,Scientific (2004),,,
Teradata,Teradata,1984,15,2014-04,,
Tibero,TmaxSoft,1992,6,2015-04,,
UniData,Rocket Software,1988,8.2.1,2017-07,,
,Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
