,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
AbiWord,2.4.2,Windows  Mac OS X  Linux  Unix-based systems,,AbiSource,GPL,,Only supports basic ODT documents. Complex ones created in OpenOffice are likely to be broken in AbiWord.
Calligra Words,2.4+,Windows  Mac OS X  Linux  Unix-based systems,Calligra Suite,KDE Project,GPL / LGPL,
Google Docs & Spreadsheets,2006,Any (Web-based),Standalone or Google Apps,Google,Proprietary,,
IBM Lotus Symphony,1.0+,Windows  Linux  Mac OS X,IBM Lotus Symphony,IBM,Proprietary,,Based upon OpenOffice.org.
IBM Workplace Documents,2.5+,Any (Web-based),IBM Workplace Collaboration Services,IBM,Proprietary,,no longer being actively marketed
KWord,1.4+,Linux  Unix-based systems,KOffice,KDE Project,LGPL,
LibreOffice Writer,4.0.3,Windows  Linux  Unix-based systems  Mac OS X  Solaris,LibreOffice,LibreOffice,LGPL,,Multiple ODF versions supported (ISO/ODF 1.0/1.1/1.2/1.2 Extended )
Microsoft Office Word,2007 SP2,Windows,Microsoft Office,Microsoft,Proprietary,,some limitations<ref></ref>
NeoOffice Writer,2.1,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,,
OpenOffice.org Writer,3.0.0,Windows  Linux  Unix-based systems  Mac OS X  Solaris,OpenOffice.org,OpenOffice.org,LGPL,,adjustable ODF version (ISO/ODF 1.2)
OpenOffice.org Writer,2.4.1,Windows  Linux  Unix-based systems  Mac OS X  Solaris,OpenOffice.org,OpenOffice.org,LGPL,,
OpenOffice.org Writer,1.1.5,Windows  Linux  Unix-based systems  Mac OS X,OpenOffice.org,OpenOffice.org,LGPL / SISSL,,Import only
StarOffice Writer,8,Windows  Linux  Solaris,StarOffice,Sun Microsystems,Proprietary,,
TextMaker,2006 and higher,Windows  Linux  FreeBSD  Pocket PC  Windows CE,SoftMaker Office,SoftMaker,Proprietary,,TextMaker 2006 - not valid files; TextMaker 2010 - valid
TextEdit,1.5 and higher,Mac OS X,Standalone,Apple Inc.,Bundled with Mac OS X/Source code available,,
WordPerfect,X4 (2008),Windows,Corel WordPerfect Office X4,Corel,Proprietary,,Import only
Zoho Writer,2006,Any (Web-based),Standalone,AdventNet,Proprietary,,
,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
