Client,Primary developers,Distribution model,Software license,User interface,Programming language
Adium,Thijs Alkemade,Free software,[empty],GUI,Objective-C and C
Ambassador<ref>Ambassador release statement</ref>,Isengrim,Free software,[empty],GUI,JavaScript  XUL
Bersirc<ref>Bersirc IRC Client - about Bersirc </ref>,Jamie Frater  Nicholas Copeland,Free software,[empty],GUI,C (Delphi originally)
BitchX,Colten Edwards,Free software,[empty],TUI  GUI,C
ChatZilla,Mozilla Foundation,Free software,[empty],GUI,JavaScript  XUL
Colloquy,Timothy Hatcher  Kiji Roshi,Desktop: free software <br />mobile: commercial,[empty],GUI,Objective-C
ERC,[empty],Free software,[empty],TUI  GUI,Emacs Lisp
F-IRC,Folkert van Heusden,Free software,[empty],TUI,C++
GrumpyChat<ref name="GrumpyChat">GitHub project.</ref>,Petr Bena,Free software,[empty],GUI,C++
HexChat<ref></ref>,Berke Viktor,Free software,[empty],TUI  GUI,C
IceChat<ref></ref><ref></ref>,Paul Vanderzee,Free software,[empty],GUI,C# (Visual Basic until 2004)<ref>IceChat History. IceChat.net</ref>
Igloo,Jordan Koch,Free mobile application,[empty],GUI,Swift
Instantbird,Florian Quèze,Free software,[empty],GUI,C/C++  JavaScript  CSS  XUL
ircII,Michael Sandrof,Free software,[empty],TUI,C
Ircle,Onno Tijdgat,Commercial 30-day trial,[empty],GUI,C
Irssi,Timo Sirainen,Free software,[empty],TUI,C
KiwiIRC,Darren Whitlen,Free software,[empty],Web,Javascript frontend  Node.js backend
KVIrc,Szymon Stefanek,Free software,[empty],GUI,C++
Konversation,KDE,Free software,[empty],GUI,C++
LeafChat<ref></ref>,Samuel Marshall,Free software,[empty],GUI,Java
LimeChat<ref></ref><ref>"LimeChat: IRC Client for Mac". Official site.</ref><ref name="LimeChatIJ"></ref>,Satoshi Nakagawa,Free software,<ref name="limechat-source">"Limechat". Github.</ref>,GUI,RubyCocoa (2007–2010)<ref name="LimeChatIJ"/><ref name="limechat-source"/> Objective-C(2010–)<ref name="limechat-source-commit">“do not load RubyCocoa” Commit on GitHub.</ref>
Linkinus,Conceited Software,Commercial  15-day trial,[empty],GUI,Objective-C
Mibbit,Jimmy Moore,Textual Adbar,[empty],Web,JavaScript frontend <br />Java backend
mIRC,Khaled Mardam-Bey,Shareware 30-day trial<ref> </ref>,[empty],GUI,C/C++ (Borland C++ originally)<ref></ref>
Nettalk,Nicolas Kruse,Freeware,[empty],GUI,Visual Basic
Opera (until version 12.xx),[empty],Freeware,[empty],GUI,C++
Pidgin,[empty],Free software,[empty],GUI,C
PIRCH,[empty],Shareware,[empty],GUI,Delphi
PJIRC,Philippe Detournay,Free software,[empty],GUI,Java
Quassel,Manuel Nickschas  Marcus Eggenberger  Alexander von Renteln,Free software,[empty],TUI  GUI,C++
qwebirc,Chris Porter,Free software,[empty],Web,JavaScript front end <br />Python backend
rcirc,Ryan Yeske,Free software,[empty],TUI,Emacs Lisp
Smuxi,Mirco Bauer,Free software,[empty],GUI  TUI  server,C#
Snak,Kent Sorensen,Commercial,[empty],GUI,[empty]
Visual IRC,[empty],Free software,[empty],GUI,[empty]
WeeChat,Sebastien Helleu,Free software,[empty],TUI  GUI,C
XChat (evolved into HexChat),[empty],Unix/Linux: free software; Windows: commercial  30-day trial<ref> </ref> (HexChat is free of charge),; or proprietary for Windows,TUI  GUI,C
Client,Primary developers,Distribution model,Software license,User interface,Programming language
