State,Highest court,High court seats,High court term,High court judicial placement method,Mandatory retirement age<ref group=note>Uncompleted entries do not indicate the lack of a retirement age  only a lack of data in this article. States without a mandatory retirement age will indicate "None".</ref>
Alabama,Supreme Court of Alabama,9,6 years,Partisan election,
Alaska,Alaska Supreme Court,5,10 years,Missouri Plan,
Arizona,Arizona Supreme Court,7,6 years,Missouri Plan,70
Arkansas,Arkansas Supreme Court,7,8 years,Non-partisan election,
California,Supreme Court of California,7,12 years,Missouri Plan,
Colorado,Colorado Supreme Court,7,10 years,Missouri Plan,
Connecticut,Connecticut Supreme Court,7,8 years<ref>Judgepedia.org  Connecticut Supreme Court  found here.</ref>,Election by the state legislature,70
Delaware,Delaware Supreme Court,5,12 years,Appointment by governor,
Florida,Florida Supreme Court,7,6 years,Modified Missouri Plan,70 (or end of current term)
Georgia,Supreme Court of Georgia,7,6 years,Non-partisan election,
Hawaii,Supreme Court of Hawaii,5,10 years,Appointment by the Governor,70
Idaho,Idaho Supreme Court,5,6 years,Non-partisan election,
Illinois,Supreme Court of Illinois,7,10 years,Partisan election,
Indiana,Supreme Court of Indiana,5,10 years<ref group=note>Retention election held after two years of service. Mandatory retirement at age 75.</ref>,Missouri Plan,75<ref group=note>The Indiana retirement age is the same regardless of the length of the Justice's remaining term.</ref>
Iowa,Iowa Supreme Court,7,8 years,Missouri Plan,72
Kansas,Kansas Supreme Court,7,6 years,Missouri Plan,70 (or end of current term)
Kentucky,Kentucky Supreme Court,7,8 years,Non-partisan election,
Louisiana,Supreme Court of Louisiana,7,10 years,Partisan election,
Maine,Maine Supreme Judicial Court,7,7 years,Appointment by the Governor,
Maryland,Maryland Court of Appeals,7,10 years,Appointment by the Governor,70
Massachusetts,Massachusetts Supreme Judicial Court,7,Lifetime,Appointment by the Governor,70
Michigan,Michigan Supreme Court,7,8 years,Non-partisan election<ref group=note>While Michigan law stipulates that State Supreme Court judges be listed on the "non-partisan" section on the ballot  only candidates who have been nominated by political parties with ballot access at their respective state conventions are allowed to stand in the succeeding general election. Subsequently  each party is only allowed to nominate as many candidates as there are supreme court seats up for election in a given year.</ref>,Must be under 70 at time of election
Minnesota,Minnesota Supreme Court,7,6 years,Non-partisan election,70
Mississippi,Supreme Court of Mississippi,9,8 years,Non-partisan election,
Missouri,Supreme Court of Missouri,7,12 years,Missouri Plan,
Montana,Montana Supreme Court,7,8 years,Non-partisan election,
Nebraska,Nebraska Supreme Court,7,6 years,Missouri Plan,
Nevada,Supreme Court of Nevada,7,6 years,Non-partisan election,
New Hampshire,New Hampshire Supreme Court,5,Lifetime,Appointment by Governor,70
New Jersey,New Jersey Supreme Court,7,7 years<ref>Refers to initial "probation" period. If the governor reappoints them (almost universally true) they then serve for life</ref>,Appointment by Governor,70
New Mexico,New Mexico Supreme Court,5,8 years,Partisan election/Retention election,
New York,New York Court of Appeals,7,14 years,Appointed by the Governor,70 (at end of calendar year)
North Carolina,North Carolina Supreme Court,7,8 years,Non-partisan election,
North Dakota,North Dakota Supreme Court,5,10 years,Non-partisan election,
Ohio,Ohio Supreme Court,7,6 years,Non-partisan election,70 (at end of term)
Oklahoma,Oklahoma Supreme Court<br />Oklahoma Court of Criminal Appeals,Supreme Court: 9<br />Court of Criminal Appeals: 5,6 years (both),Missouri Plan,
Oregon,Oregon Supreme Court,7,6 years,Non-partisan election,75
Pennsylvania,Supreme Court of Pennsylvania,7,10 years,Partisan election,78
Puerto Rico,Supreme Court of Puerto Rico,9,Lifetime,Appointment by the Governor with confirmation by the Senate,70
Rhode Island,Rhode Island Supreme Court,5,Lifetime<ref name=yale>Linda Greenhouse  "The Case for Term Limits on the Supreme Court with Linda Greenhouse"  Yale Political Union  May 28  2009  http://www.huffingtonpost.com/yale-political-union/the-case-for-term-limits_b_208445.html</ref>,Modified Missouri Plan,None<ref name=yale />
South Carolina,South Carolina Supreme Court,5,10 years,Election by State Legislature,72
South Dakota,South Dakota Supreme Court,5,8 years,Non-partisan election,
Tennessee,Tennessee Supreme Court,5,8 years,Tennessee Plan (Modified Missouri Plan),
Texas,Texas Supreme Court<br />Texas Court of Criminal Appeals,9 (both),6 years (both),Partisan election,75 (may finish term or 4 years of term  whichever is shorter)
Utah,Utah Supreme Court,5,4 years,Missouri Plan,
Vermont,Vermont Supreme Court,5,6 years,Election by State Legislature,
Virginia,Supreme Court of Virginia,7,12 years,Election by State Legislature,70<ref>Aaron Applegate  Mike Saewitz  "Bill seeks to raise mandatory retirement age for judges to 73"  The Virginian-Pilot  February 4  2010  http://hamptonroads.com/2010/02/bill-seeks-raise-mandatory-retirement-age-judges-73</ref>
Washington,Washington Supreme Court,9,6 years,Non-partisan election,75
West Virginia,Supreme Court of Appeals of West Virginia,5,12 years,Partisan election,
Wisconsin,Wisconsin Supreme Court,7,10 years,Non-partisan election,
Wyoming,Wyoming Supreme Court,5,8 years,Missouri Plan,
