,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
Calligra Sheets,2.4+,Windows  Mac OS X  Linux  Unix-based systems,Calligra Suite,KDE Project,GPL / LGPL,,
EditGrid,,Any (Web-based),,Team and Concepts,Proprietary,,
Gnumeric,1.12.5+,Linux  Unix-based systems  Windows,,GNOME,GPL,,Saves in ODF 1.2
Google Spreadsheets,,Any (Web-based),Google Docs & Spreadsheets,Google,Proprietary,,
IBM Lotus Symphony,1.0+,Windows  Linux  Mac OS X,IBM Lotus Symphony,IBM,Proprietary,,
IBM Workplace Documents,2.5+,Any (Web-based),IBM Workplace Collaboration Services,IBM,Proprietary,,no longer being actively marketed
KSpread / KCells,1.4+,Linux  Unix-based systems,KOffice,KDE Project,LGPL,,
LibreOffice Calc,3.3.0,Windows  Linux  Unix-based systems  Mac OS X  Solaris,LibreOffice,LibreOffice,LGPL,
Microsoft Office Excel,2007 SP2,Windows,Microsoft Office,Microsoft,Proprietary,(different results in validators),
NeoOffice Calc,1.2,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,,Import only
NeoOffice Calc,2.2.5,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,,http://neowiki.neooffice.org/index.php/NeoOffice_File_Formats
OpenOffice.org Calc,2.0+,Windows  Linux  Unix-based systems  Mac OS X  Solaris,OpenOffice.org,OpenOffice.org,LGPL,,
StarOffice Calc,8,Windows  Linux  Solaris,StarOffice,Sun Microsystems,Proprietary,,
Zoho Sheet,2006,Any (Web-based),Standalone,AdventNet,Proprietary,,
,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
